topic_id,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10
0,american,states,officials,united,military,would,obama,administration,intelligence,official 
1,court,news,case,prison,family,media,two,charges,video,authorities 
2,israel,israeli,palestinian,netanyahu,palestinians,jerusalem,bank,west,jewish,israelis 
3,killed,attack,military,attacks,security,people,two,forces,soldiers,officials 
4,saudi,arabia,yemen,arab,yemeni,united,coalition,country,qaeda,led 
5,obama,would,kerry,trump,president,united,states,american,administration,deal 
6,hezbollah,syria,lebanon,lebanese,syrian,jordan,refugees,war,border,shiite 
7,iran,iranian,nuclear,sanctions,united,tehran,states,would,irans,program 
8,protesters,police,protests,people,security,government,forces,friday,activists,violence 
9,turkey,kurdish,turkish,border,syrian,syria,region,united,states,officials 
10,egypt,egyptian,military,brotherhood,mubarak,morsi,president,cairo,muslim,government 
11,islamic,state,group,isis,fighters,syria,iraq,militants,forces,also 
12,rights,human,women,report,group,groups,law,international,government,activists 
13,syria,syrian,assad,weapons,government,russia,chemical,opposition,russian,would 
14,united,nations,council,security,states,aid,international,general,people,countries 
15,one,people,many,like,years,year,even,family,would,two 
16,government,syrian,rebel,rebels,syria,aleppo,fighters,city,assad,damascus 
17,gaza,hamas,israel,israeli,palestinian,military,fire,palestinians,border,west 
18,government,political,minister,would,new,party,president,prime,parliament,power 
19,iraq,iraqi,shiite,sunni,baghdad,government,american,forces,troops,security 
